   cum/step  own/step   calls  function
     5.2235    0.0007      16  linsolve.py:solve
     5.2228    0.0005      16  linsolve.py:_solve_timed
     1.2912    0.0002      28  multiblock.py:map_blocks
     1.2907    0.0005      28  multiblock.py:<dictcomp>
     0.7848    0.1383      96  multiblock.py:pressure_face_fluxes
     0.5243    0.1263     288  multiblock.py:jg_field
     0.5164    0.0005      32  piso_multiblock.py:_flux_of
     0.4734    0.0002      64  piso_multiblock.py:<lambda>
     0.3149    0.3149    4503  precond.py:<lambda>
     0.2800    0.2800   18432  multiblock.py:<genexpr>
     0.2141    0.0009     192  piso_multiblock.py:<lambda>
     0.2133    0.0400     192  multiblock.py:cross_diffusion
     0.2035    0.0197      32  multiblock.py:face_fluxes
     0.1829    0.0017     896  multiblock.py:pad_field
     0.1768    0.0602    7168  multiblock.py:upto
     0.1751    0.0002     544  phase5_fluxes.py:contravariant_components
     0.1749    0.1749     544  phase5_fluxes.py:<listcomp>
     0.1072    0.0119       2  multiblock.py:build_momentum_matrix
     0.1033    0.0105    8960  multiblock.py:_ghost_field
