  restarted from results/fields/chan_re180_t4.npz: t = 4.000, step 4000
  channel Re_tau = 180, 24x80x24 in 2 blocks = 46,080 cells, model = smagorinsky + van Driest
  dx+ 23.6   dz+ 8.0   dy+ wall 1.00 max 8.48   8 points under y+ = 10
  dt = 0.0005:  CFL_x 0.08, CFL_y 0.25, CFL_z 0.04  (dy_wall 0.00556)
      step       t    u_tau    U+_c    u_b+  nu_t/nu       div   s/step
       500    4.25      nan     nan     nan    0.214   3.4e-14    0.686
      1000    4.50      nan     nan     nan    0.233   3.7e-14    0.677
      1500    4.75      nan     nan     nan    0.245   3.4e-14    0.675
      2000    5.00      nan     nan     nan    0.233   4.0e-14    0.670
      2500    5.25      nan     nan     nan    0.221   3.6e-14    0.673
      3000    5.50      nan     nan     nan    0.215   3.5e-14    0.681
      3500    5.75      nan     nan     nan    0.214   3.4e-14    0.689
      4000    6.00      nan     nan     nan    0.199   3.5e-14    0.693
      4500    6.25      nan     nan     nan    0.186   3.1e-14    0.716
      5000    6.50      nan     nan     nan    0.183   3.2e-14    0.712
      5500    6.75      nan     nan     nan    0.176   3.3e-14    0.751
      6000    7.00      nan     nan     nan    0.171   3.2e-14    0.759
      6500    7.25      nan     nan     nan    0.174   3.2e-14    0.755
      7000    7.50      nan     nan     nan    0.184   3.2e-14    0.749
      7500    7.75      nan     nan     nan    0.192   3.2e-14    0.742
      8000    8.00      nan     nan     nan    0.196   3.4e-14    0.736
      8500    8.25      nan     nan     nan    0.196   3.1e-14    0.730
      9000    8.50      nan     nan     nan    0.200   3.5e-14    0.725
      9500    8.75      nan     nan     nan    0.208   3.3e-14    0.720
     10000    9.00      nan     nan     nan    0.212   3.7e-14    0.716
     10500    9.25      nan     nan     nan    0.214   3.8e-14    0.712
     11000    9.50      nan     nan     nan    0.209   3.2e-14    0.709
     11500    9.75      nan     nan     nan    0.206   3.2e-14    0.705
     12000   10.00      nan     nan     nan    0.211   3.4e-14    0.703
     12500   10.25      nan     nan     nan    0.214   3.9e-14    0.700
     13000   10.50      nan     nan     nan    0.213   4.3e-14    0.698
     13500   10.75      nan     nan     nan    0.213   3.6e-14    0.695
     14000   11.00      nan     nan     nan    0.208   3.6e-14    0.693
     14500   11.25      nan     nan     nan    0.195   3.3e-14    0.692
     15000   11.50      nan     nan     nan    0.182   3.0e-14    0.690
     15500   11.75      nan     nan     nan    0.176   3.5e-14    0.688
/Users/danielchan/Dropbox/PICT-Python/run_channel_les.py:202: DeprecationWarning: `trapz` is deprecated. Use `trapezoid` instead, or one of the numerical integration functions in `scipy.integrate`.
  ub = float(np.trapz(U, yv) / (yv[-1] - yv[0])) if U is not None else float("nan")
     16000   12.00   0.9813   18.46   15.84    0.174   3.1e-14    0.687
     16500   12.25   0.9798   18.53   15.84    0.170   3.1e-14    0.685
     17000   12.50   0.9711   18.58   15.84    0.179   3.1e-14    0.684
     17500   12.75   0.9666   18.60   15.84    0.194   3.4e-14    0.683
     18000   13.00   0.9580   18.54   15.85    0.195   3.4e-14    0.681
     18500   13.25   0.9508   18.49   15.86    0.190   3.1e-14    0.680
     19000   13.50   0.9513   18.49   15.87    0.189   3.2e-14    0.679
     19500   13.75   0.9522   18.52   15.88    0.183   3.2e-14    0.678
     20000   14.00   0.9568   18.56   15.88    0.181   3.3e-14    0.677
     20500   14.25   0.9599   18.60   15.89    0.182   3.1e-14    0.677
     21000   14.50   0.9610   18.63   15.89    0.183   3.2e-14    0.676
     21500   14.75   0.9603   18.64   15.90    0.181   3.1e-14    0.675
     22000   15.00   0.9577   18.64   15.91    0.178   3.3e-14    0.674
     22500   15.25   0.9552   18.64   15.92    0.176   3.5e-14    0.673
     23000   15.50   0.9535   18.67   15.93    0.178   3.5e-14    0.673
     23500   15.75   0.9505   18.70   15.94    0.181   3.1e-14    0.672
     24000   16.00   0.9467   18.74   15.95    0.180   3.1e-14    0.671
     24500   16.25   0.9427   18.77   15.96    0.180   3.3e-14    0.671
     25000   16.50   0.9398   18.80   15.97    0.180   3.1e-14    0.670
     25500   16.75   0.9385   18.83   15.98    0.187   3.1e-14    0.670
     26000   17.00   0.9379   18.85   15.99    0.199   3.5e-14    0.669
     26500   17.25   0.9372   18.87   16.01    0.210   3.5e-14    0.668
     27000   17.50   0.9363   18.89   16.02    0.214   3.3e-14    0.668
     27500   17.75   0.9359   18.90   16.03    0.220   3.2e-14    0.667
     28000   18.00   0.9366   18.91   16.04    0.221   3.7e-14    0.667
     28500   18.25   0.9384   18.91   16.05    0.210   3.3e-14    0.666
     29000   18.50   0.9408   18.90   16.06    0.196   3.3e-14    0.666
     29500   18.75   0.9430   18.88   16.07    0.190   3.6e-14    0.666
     30000   19.00   0.9450   18.87   16.08    0.182   3.1e-14    0.665
