  89,088 cells  Re=100  dt=0.01  tol=1e-06  backend=scipy  nz=4
  probe at (2.070, 0.492)
  reference: St = 0.164, C_D = 1.33

  phase     step       t     v_probe    amp/500   s/step
  settle     500     5.0   -0.247871  2.236e-01    2.003
  settle    1000    10.0   -0.120827  1.368e-01    2.003
  settle    1500    15.0    0.003579  1.240e-01    1.996
  settle    2000    20.0    0.015619  1.299e-02    2.002
  settle    2500    25.0    0.008239  7.367e-03    1.999
  settle    3000    30.0    0.005287  2.941e-03    1.999
  settle    3500    35.0    0.004844  4.424e-04    2.001
  settle    4000    40.0    0.005038  1.942e-04    2.002
  settle    4500    45.0    0.005119  8.131e-05    2.005
  settle    5000    50.0    0.005129  1.563e-05    2.008
  settle    5500    55.0    0.005230  1.004e-04    2.011
  settle    6000    60.0    0.005337  1.065e-04    2.012
  settle    6500    65.0    0.005415  7.788e-05    2.013
  settle    7000    70.0    0.005458  4.325e-05    2.018
  settle    7500    75.0    0.005481  2.267e-05    2.020
  settle    8000    80.0    0.005500  1.892e-05    2.019
  base flow saved -> results/fields/cyl_Re100_base.npz

  kicked at 1% of U about v0 = +0.005500

  shed       500    85.0   -0.001130  1.147e-02    2.181
  shed      1000    90.0    0.016693  1.875e-02    2.180
  shed      1500    95.0   -0.012971  2.997e-02    2.179
  shed      2000   100.0    0.032504  4.702e-02    2.181
  shed      2500   105.0   -0.034847  7.683e-02    2.182
  shed      3000   110.0    0.031370  1.059e-01    2.181
  shed      3500   115.0   -0.008046  1.494e-01    2.182
  shed      4000   120.0   -0.167846  2.868e-01    2.181
  shed      4500   125.0    0.155365  3.723e-01    2.215
  shed      5000   130.0   -0.176743  4.476e-01    2.226
  shed      5500   135.0   -0.300729  4.868e-01    2.222
  shed      6000   140.0    0.153541  5.469e-01    2.234
  shed      6500   145.0   -0.044613  5.237e-01    2.238
