  63,280 cells, dt = 0.01, Re = 100, rhie_chow = True, nz = 4
  probe at (2.000, 0.500), asked for (2.0, 0.5)
  symmetry-breaking pulse: v = 0.05 at the inlet until t = 4.0

     step        t    v_probe   max|u|    max div   s/step
        1     0.01   -0.04291   1.9268   1.20e+01    1.737
      250     2.50   -0.07651   1.5658   3.63e+00    1.440
      500     5.00   -0.12856   1.5164   3.43e+00    1.431
      750     7.50   -0.17475   1.4897   3.34e+00    1.419
     1000    10.00   -0.19642   1.4814   3.38e+00    1.399
     1250    12.50   -0.22131   1.4798   3.30e+00    1.377
     1500    15.00   -0.23332   1.4703   3.20e+00    1.354
     1750    17.50   -0.23137   1.4687   3.22e+00    1.327
     2000    20.00   -0.23137   1.4687   3.22e+00    1.280
     2250    22.50   -0.23137   1.4687   3.22e+00    1.191
     2500    25.00   -0.23137   1.4687   3.22e+00    1.108
     2750    27.50   -0.23137   1.4687   3.22e+00    1.039
     3000    30.00   -0.23137   1.4687   3.22e+00    0.982
     3250    32.50   -0.23137   1.4687   3.22e+00    0.934
     3500    35.00   -0.23137   1.4687   3.22e+00    0.892
     3750    37.50   -0.23137   1.4687   3.22e+00    0.857
     4000    40.00   -0.23137   1.4687   3.22e+00    0.825
     4250    42.50   -0.23137   1.4687   3.22e+00    0.798
     4500    45.00   -0.23137   1.4687   3.22e+00    0.774
