  loaded the steady state: t=40.0, step 4000
  steady v at the probe: -0.231373
  kicked 4,600 nodes with amplitude 0.3 (antisymmetric about y=0)

    step       t      v_probe   dev from steady
     200    42.0    -0.134448         9.693e-02
     400    44.0    -0.168342         6.303e-02
     600    46.0    -0.222567         8.806e-03
     800    48.0    -0.253483        -2.211e-02
    1000    50.0    -0.274205        -4.283e-02
    1200    52.0    -0.290439        -5.907e-02
    1400    54.0    -0.300780        -6.941e-02
    1600    56.0    -0.306992        -7.562e-02
    1800    58.0    -0.308074        -7.670e-02
    2000    60.0    -0.302757        -7.138e-02
    2200    62.0    -0.291470        -6.010e-02
    2400    64.0    -0.275353        -4.398e-02
