  restarted from the steady state: t=40.0, step 4000
  63,280 cells  Re=100  dt=0.01  tol=1e-06  backend=amgx
  probe (2D, 0.5D), steady value v0 = -0.231373

     step       t     v_probe         dev    amp/500   s/step
AMGX version 2.5.0
Built on Aug 30 2026, 11:25:55
Compiled with CUDA Runtime 13.1, using CUDA driver 13.0
      500    45.0   -0.095472   1.359e-01  2.487e-01    0.302
     1000    50.0    0.047368   2.787e-01  1.424e-01    0.299
     1500    55.0   -0.016244   2.151e-01  9.140e-02    0.299
     2000    60.0    0.092139   3.235e-01  1.179e-01    0.299
     2500    65.0   -0.060155   1.712e-01  2.011e-01    0.299
     3000    70.0   -0.069105   1.623e-01  2.093e-01    0.298
     3500    75.0    0.166669   3.980e-01  3.699e-01    0.299
     4000    80.0   -0.149983   8.139e-02  4.374e-01    0.299
     4500    85.0   -0.271940  -4.057e-02  4.697e-01    0.299
     5000    90.0    0.163466   3.948e-01  5.281e-01    0.298
     5500    95.0    0.059911   2.913e-01  5.059e-01    0.299
     6000   100.0   -0.342292  -1.109e-01  5.853e-01    0.299
     6500   105.0   -0.197273   3.410e-02  5.708e-01    0.299
     7000   110.0    0.231667   4.630e-01  6.038e-01    0.299
     7500   115.0   -0.072025   1.593e-01  6.084e-01    0.299
     8000   120.0   -0.379777  -1.484e-01  6.143e-01    0.299
     8500   125.0   -0.077923   1.534e-01  6.148e-01    0.299
     9000   130.0    0.221260   4.526e-01  6.031e-01    0.299
     9500   135.0   -0.181623   4.975e-02  6.185e-01    0.299
    10000   140.0   -0.377173  -1.458e-01  6.131e-01    0.299
    10500   145.0    0.041303   2.727e-01  6.195e-01    0.299
    11000   150.0    0.175880   4.073e-01  5.595e-01    0.299
    11500   155.0   -0.271166  -3.979e-02  6.200e-01    0.299
    12000   160.0   -0.350588  -1.192e-01  5.868e-01    0.299
    12500   165.0    0.142283   3.737e-01  6.202e-01    0.299
    13000   170.0    0.107944   3.393e-01  5.239e-01    0.299
    13500   175.0   -0.334875  -1.035e-01  6.204e-01    0.299
    14000   180.0   -0.291298  -5.993e-02  5.698e-01    0.299
    14500   185.0    0.209777   4.411e-01  6.205e-01    0.299
    15000   190.0    0.022153   2.535e-01  5.926e-01    0.299
    15500   195.0   -0.371170  -1.398e-01  6.205e-01    0.299
    16000   200.0   -0.197802   3.357e-02  6.068e-01    0.299
    16500   205.0    0.235919   4.673e-01  6.206e-01    0.299
    17000   210.0   -0.077022   1.544e-01  6.201e-01    0.299
    17500   215.0   -0.384066  -1.527e-01  6.206e-01    0.299
    18000   220.0   -0.082717   1.487e-01  6.203e-01    0.299
    18500   225.0    0.222770   4.541e-01  6.072e-01    0.299
    19000   230.0   -0.178817   5.256e-02  6.207e-01    0.299
    19500   235.0   -0.378956  -1.476e-01  6.152e-01    0.299
    20000   240.0    0.035498   2.669e-01  6.207e-01    0.299
    20500   245.0    0.178588   4.100e-01  5.631e-01    0.299
    21000   250.0   -0.267944  -3.657e-02  6.208e-01    0.299
    21500   255.0   -0.353305  -1.219e-01  5.896e-01    0.299
    22000   260.0    0.137671   3.690e-01  6.208e-01    0.299
    22500   265.0    0.111625   3.430e-01  5.198e-01    0.299
    23000   270.0   -0.332891  -1.015e-01  6.209e-01    0.299
    23500   275.0   -0.295770  -6.440e-02  5.677e-01    0.299
    24000   280.0    0.207252   4.386e-01  6.209e-01    0.299
    24500   285.0    0.026532   2.579e-01  5.906e-01    0.299
    25000   290.0   -0.370518  -1.391e-01  6.210e-01    0.299
    25500   295.0   -0.203649   2.772e-02  6.060e-01    0.299
    26000   300.0    0.235543   4.669e-01  6.210e-01    0.299
    26500   305.0   -0.072346   1.590e-01  6.202e-01    0.299
    27000   310.0   -0.384429  -1.531e-01  6.211e-01    0.299
    27500   315.0   -0.089006   1.424e-01  6.205e-01    0.299
    28000   320.0    0.224103   4.555e-01  6.090e-01    0.299
    28500   325.0   -0.174549   5.682e-02  6.212e-01    0.299
    29000   330.0   -0.380134  -1.488e-01  6.163e-01    0.300
    29500   335.0    0.029750   2.611e-01  6.212e-01    0.300
    30000   340.0    0.181077   4.124e-01  5.661e-01    0.299

  done
