  65,392 cells  Re=100  dt=0.01  tol=1e-06  backend=amgx
  validate(): 0 problems
  probe at (2.035, 0.500)

     step       t     v_probe    amp/500   s/step
AMGX version 2.5.0
Built on Aug 30 2026, 11:25:55
Compiled with CUDA Runtime 13.1, using CUDA driver 13.0
      500     5.0   -0.258779  3.175e-01    0.335
     1000    10.0   -0.000455  2.574e-01    0.331
     1500    15.0    0.036103  3.647e-02    0.329
     2000    20.0    0.025443  1.065e-02    0.329
     2500    25.0    0.018247  7.174e-03    0.328
     3000    30.0    0.016100  2.139e-03    0.329
     3500    35.0    0.015580  5.185e-04    0.328
     4000    40.0    0.015455  1.247e-04    0.328
     4500    45.0    0.015422  3.266e-05    0.328
     5000    50.0    0.015412  1.008e-05    0.327
     5500    55.0    0.015412  2.077e-06    0.327
     6000    60.0    0.015412  6.034e-07    0.326
     6500    65.0    0.015414  1.905e-06    0.326
     7000    70.0    0.015417  2.287e-06    0.326
     7500    75.0    0.015419  2.266e-06    0.326
     8000    80.0    0.015421  2.117e-06    0.325
     8500    85.0    0.015423  1.869e-06    0.325
     9000    90.0    0.015425  1.574e-06    0.325
     9500    95.0    0.015426  1.300e-06    0.325
    10000   100.0    0.015426  3.747e-07    0.325
    10500   105.0    0.015426  3.209e-16    0.324
    11000   110.0    0.015426  4.129e-16    0.324
    11500   115.0    0.015426  1.631e-16    0.324
    12000   120.0    0.015426  1.180e-16    0.323
    12500   125.0    0.015426  1.596e-16    0.323
    13000   130.0    0.015426  3.149e-08    0.323
    13500   135.0    0.015426  7.682e-08    0.323
    14000   140.0    0.015426  1.558e-08    0.322
    14500   145.0    0.015426  2.290e-08    0.322
    15000   150.0    0.015426  3.984e-09    0.322
    15500   155.0    0.015426  2.012e-16    0.322
    16000   160.0    0.015426  1.769e-16    0.322
    16500   165.0    0.015426  3.695e-16    0.322
    17000   170.0    0.015426  2.429e-16    0.321
    17500   175.0    0.015426  6.661e-16    0.321
    18000   180.0    0.015426  4.146e-16    0.321
    18500   185.0    0.015426  5.474e-08    0.321
    19000   190.0    0.015426  1.774e-08    0.321
    19500   195.0    0.015426  1.076e-16    0.321
    20000   200.0    0.015426  1.891e-16    0.321
    20500   205.0    0.015426  2.862e-16    0.320
    21000   210.0    0.015426  2.567e-16    0.320
    21500   215.0    0.015426  1.440e-16    0.320
    22000   220.0    0.015426  2.585e-16    0.320
    22500   225.0    0.015426  3.445e-07    0.320
    23000   230.0    0.015426  2.723e-09    0.320
    23500   235.0    0.015426  3.606e-08    0.320
    24000   240.0    0.015426  4.256e-09    0.320
    24500   245.0    0.015426  7.529e-16    0.320
    25000   250.0    0.015426  2.334e-08    0.320
    25500   255.0    0.015426  1.256e-08    0.320
    26000   260.0    0.015426  3.053e-16    0.320
    26500   265.0    0.015427  1.237e-07    0.320
    27000   270.0    0.015427  2.724e-16    0.320
    27500   275.0    0.015427  3.183e-07    0.320
    28000   280.0    0.015427  2.711e-07    0.320
    28500   285.0    0.015427  1.337e-08    0.320
    29000   290.0    0.015427  1.962e-07    0.320
    29500   295.0    0.015427  5.831e-09    0.320
    30000   300.0    0.015427  1.303e-07    0.320
    30500   305.0    0.015428  1.119e-07    0.320
    31000   310.0    0.015428  5.327e-08    0.320
    31500   315.0    0.015428  6.015e-08    0.320
    32000   320.0    0.015428  1.030e-07    0.320
    32500   325.0    0.015428  5.482e-08    0.320
    33000   330.0    0.015428  2.754e-08    0.319
    33500   335.0    0.015428  6.403e-08    0.319
    34000   340.0    0.015428  6.107e-08    0.319
    34500   345.0    0.015428  8.624e-09    0.319
    35000   350.0    0.015428  5.755e-08    0.319
    35500   355.0    0.015428  5.685e-08    0.319
    36000   360.0    0.015428  6.255e-08    0.319
    36500   365.0    0.015428  7.277e-08    0.319
    37000   370.0    0.015428  1.147e-08    0.319
    37500   375.0    0.015428  7.921e-08    0.319
    38000   380.0    0.015428  7.470e-08    0.319
    38500   385.0    0.015428  6.873e-08    0.319
    39000   390.0    0.015428  5.510e-08    0.319
    39500   395.0    0.015428  7.424e-09    0.319
    40000   400.0    0.015428  4.725e-08    0.319
    40500   405.0    0.015428  4.212e-08    0.319
    41000   410.0    0.015428  4.061e-08    0.319
    41500   415.0    0.015429  4.286e-08    0.319
    42000   420.0    0.015429  4.849e-08    0.319
    42500   425.0    0.015429  5.373e-08    0.319
    43000   430.0    0.015429  5.378e-08    0.319
    43500   435.0    0.015429  5.164e-08    0.319
    44000   440.0    0.015429  5.084e-08    0.319
    44500   445.0    0.015429  4.623e-08    0.319
    45000   450.0    0.015429  4.194e-08    0.319

  done
