  channel Re_tau=180 24x80x24 in 2 blocks, smagorinsky+vanDriest, rotational, rhie_chow=True, dt=0.001
  seeded: E_2dx 1.5816e+02 (0.01% of fluctuation)   E_2dy 5.9259e-01 (0.00%)
     step       t       E_2dx    amp_x  %tot_x       E_2dy    amp_y  %tot_y   max|u|
      250   0.250  7.4934e+01    0.474   0.005  7.7275e-02    0.130   0.000   20.351
      500   0.500  4.6850e+01    0.296   0.003  8.6235e-02    0.146   0.000   20.069
      750   0.750  3.0586e+01    0.193   0.002  9.2771e-02    0.157   0.000   20.341
     1000   1.000  1.7538e+01    0.111   0.001  8.3718e-02    0.141   0.000   20.854
     1250   1.250  1.1148e+01    0.070   0.001  1.0555e-01    0.178   0.000   21.186
     1500   1.500  8.7138e+00    0.055   0.001  1.0209e-01    0.172   0.000   20.809
     1750   1.750  8.3452e+00    0.053   0.001  6.5513e-02    0.111   0.000   20.340
     2000   2.000  8.1729e+00    0.052   0.000  5.9533e-02    0.100   0.000   20.781
     2250   2.250  8.4398e+00    0.053   0.001  6.0044e-02    0.101   0.000   20.977
     2500   2.500  9.4503e+00    0.060   0.001  5.8648e-02    0.099   0.000   21.014
     2750   2.750  1.0590e+01    0.067   0.001  7.6046e-02    0.128   0.000   21.050
     3000   3.000  1.1882e+01    0.075   0.001  1.0849e-01    0.183   0.000   21.029
     3250   3.250  1.2852e+01    0.081   0.001  1.5482e-01    0.261   0.000   20.883
     3500   3.500  1.2737e+01    0.081   0.001  1.9921e-01    0.336   0.000   20.611
     3750   3.750  1.2462e+01    0.079   0.001  1.6448e-01    0.278   0.000   21.260
     4000   4.000  1.3216e+01    0.084   0.001  1.7066e-01    0.288   0.000   21.810
     4250   4.250  1.3618e+01    0.086   0.001  1.9106e-01    0.322   0.000   21.236
     4500   4.500  1.3693e+01    0.087   0.001  2.6757e-01    0.452   0.000   21.626
     4750   4.750  1.5831e+01    0.100   0.001  2.9380e-01    0.496   0.000   21.826
