  channel Re_tau=180 24x80x24 in 2 blocks, smagorinsky+vanDriest, rotational, rhie_chow=True, dt=0.001
  seeded: E_2dx 1.5816e+02 (0.01% of fluctuation)   E_2dy 5.9259e-01 (0.00%)
     step       t       E_2dx    amp_x  %tot_x       E_2dy    amp_y  %tot_y   max|u|
      250   0.250  7.4935e+01    0.474   0.005  7.7722e-02    0.131   0.000   20.351
      500   0.500  4.6852e+01    0.296   0.003  8.6734e-02    0.146   0.000   20.069
      750   0.750  3.0587e+01    0.193   0.002  9.3305e-02    0.157   0.000   20.341
     1000   1.000  1.7538e+01    0.111   0.001  8.4174e-02    0.142   0.000   20.854
     1250   1.250  1.1149e+01    0.070   0.001  1.0604e-01    0.179   0.000   21.186
     1500   1.500  8.7147e+00    0.055   0.001  1.0241e-01    0.173   0.000   20.809
     1750   1.750  8.3453e+00    0.053   0.001  6.5711e-02    0.111   0.000   20.340
     2000   2.000  8.1742e+00    0.052   0.000  5.9734e-02    0.101   0.000   20.780
     2250   2.250  8.4417e+00    0.053   0.001  6.0388e-02    0.102   0.000   20.977
     2500   2.500  9.4526e+00    0.060   0.001  5.8957e-02    0.099   0.000   21.014
     2750   2.750  1.0591e+01    0.067   0.001  7.6394e-02    0.129   0.000   21.051
     3000   3.000  1.1881e+01    0.075   0.001  1.0895e-01    0.184   0.000   21.022
     3250   3.250  1.2846e+01    0.081   0.001  1.5544e-01    0.262   0.000   20.882
     3500   3.500  1.2738e+01    0.081   0.001  2.0027e-01    0.338   0.000   20.613
     3750   3.750  1.2466e+01    0.079   0.001  1.6507e-01    0.279   0.000   21.265
     4000   4.000  1.3210e+01    0.084   0.001  1.7118e-01    0.289   0.000   21.790
     4250   4.250  1.3627e+01    0.086   0.001  1.9229e-01    0.324   0.000   21.203
     4500   4.500  1.3689e+01    0.087   0.001  2.6287e-01    0.444   0.000   21.565
     4750   4.750  1.5835e+01    0.100   0.001  2.8699e-01    0.484   0.000   21.888
