  TGV Re=400  64^3 in 2 blocks  model=sigma  dt=0.005
     step      t           E     -dE/dt    nyq%       div  s/step
      200   1.00    0.122978    0.00202   0.000   1.5e-15   7.615
      400   2.00    0.120606    0.00237   0.000   1.6e-15   7.648
      600   3.00    0.117354    0.00325   0.000   1.9e-15   7.554
      800   4.00    0.112307    0.00505   0.001   1.9e-15   7.494
     1000   5.00    0.104620    0.00769   0.013   2.1e-15   7.449
     1200   6.00    0.092975    0.01164   0.009   2.7e-15   7.425
     1400   7.00    0.081095    0.01188   0.020   2.7e-15   7.414
     1600   8.00    0.069689    0.01141   0.022   1.7e-15   7.414
     1800   9.00    0.059913    0.00978   0.014   1.5e-15   7.395
     2000  10.00    0.051240    0.00867   0.029   1.3e-15   7.391
     2200  11.00    0.043277    0.00796   0.017   1.4e-15   7.382
     2400  12.00    0.036400    0.00688   0.019   1.2e-15   7.379
